AGGH,Honiara International Airport
AGGM,Munda Airport
AYMH,Mount Hagen Kagamuga Airport
BGBW,Narsarsuaq Airport
BGGH,Godthaab / Nuuk Airport
BGJN,Ilulissat Airport
BGKK,Kulusuk Airport
BGSF,Kangerlussuaq Airport
BGTL,Thule Air Base
BIAR,Akureyri Airport
BIEG,Egilsstaðir Airport
BIKF,Keflavik International Airport
BIRK,Reykjavik Airport
BKPR,Priština International Airport
CBBC,Bella Bella (Campbell Island) Airport
CWJC,Ennadai Lake Airport
CYAB,Arctic Bay Airport
CYAH,La Grande-4 Airport
CYAM,Sault Ste Marie Airport
CYAT,Attawapiskat Airport
CYAW,Halifax / CFB Shearwater Heliport
CYAY,St. Anthony Airport
CYAZ,Tofino / Long Beach Airport
CYBB,Kugaaruk Airport
CYBC,Baie Comeau Airport
CYBD,Bella Coola Airport
CYBG,CFB Bagotville
CYBK,Baker Lake Airport
CYBL,Campbell River Airport
CYBN,CFB Borden
CYBR,Brandon Municipal Airport
CYBU,Nipawin Airport
CYBV,Berens River Airport
CYBW,Calgary / Springbank Airport
CYBX,Lourdes de Blanc Sablon Airport
CYCB,Cambridge Bay Airport
CYCD,Nanaimo Airport
CYCG,Castlegar/West Kootenay Regional Airport
CYCK,Chatham Kent Airport
CYCO,Kugluktuk Airport
CYCP,Blue River Airport
CYCQ,Chetwynd Airport
CYCS,Chesterfield Inlet Airport
CYCX,CFB Gagetown Heliport
CYCY,Clyde River Airport
CYDA,Dawson City Airport
CYDB,Burwash Airport
CYDC,Princeton Airport
CYDF,Deer Lake Airport
CYDL,Dease Lake Airport
CYDP,Nain Airport
CYDQ,Dawson Creek Airport
CYED,Edmonton (CFB Namao) Heliport
CYEG,Edmonton International Airport
CYEK,Arviat Airport
CYEN,Estevan Airport
CYER,Fort Severn Airport
CYET,Edson Airport
CYEV,Inuvik Mike Zubko Airport
CYFB,Iqaluit Airport
CYFC,Fredericton Airport
CYFO,Flin Flon Airport
CYFR,Fort Resolution Airport
CYFS,Fort Simpson Airport
CYGE,Golden Airport
CYGH,Fort Good Hope Airport
CYGK,Kingston Norman Rogers Airport
CYGL,La Grande Rivière Airport
CYGP,Gaspé (Michel-Pouliot) Airport
CYGQ,Geraldton Greenstone Regional Airport
CYGR,Îles-de-la-Madeleine Airport
CYGT,Igloolik Airport
CYGV,Havre St Pierre Airport
CYGW,Kuujjuarapik Airport
CYGX,Gillam Airport
CYHD,Dryden Regional Airport
CYHE,Hope Airport
CYHI,Ulukhaktok Holman Airport
CYHK,Gjoa Haven Airport
CYHM,John C. Munro Hamilton International Airport
CYHU,Montréal / Saint-Hubert Airport
CYHY,Hay River / Merlyn Carter Airport
CYHZ,Halifax / Stanfield International Airport
CYIO,Pond Inlet Airport
CYIV,Island Lake Airport
CYJF,Fort Liard Airport
CYJT,Stephenville Airport
CYKA,Kamloops Airport
CYKD,Aklavik/Freddie Carmichael Airport
CYKF,Waterloo Airport
CYKJ,Key Lake Airport
CYKL,Schefferville Airport
CYKQ,Waskaganish Airport
CYKY,Kindersley Airport
CYLD,Chapleau Airport
CYLH,Lansdowne House Airport
CYLJ,Meadow Lake Airport
CYLK,Lutselk'e Airport
CYLL,Lloydminster Airport
CYLT,Alert Airport
CYLW,Kelowna International Airport
CYMA,Mayo Airport
CYMH,Mary's Harbour Airport
CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport
CYMM,Fort McMurray Airport
CYMO,Moosonee Airport
CYMT,Chapais Airport
CYMX,Montreal International (Mirabel) Airport
CYNA,Natashquan Airport
CYND,Ottawa / Gatineau Airport
CYNE,Norway House Airport
CYNM,Matagami Airport
CYOC,Old Crow Airport
CYOD,CFB Cold Lake
CYOJ,High Level Airport
CYOO,Toronto/Oshawa Executive Airport
CYOW,Ottawa Macdonald-Cartier International Airport
CYOY,C J.H.L.(Joe) Lecomte) Heliport
CYPA,Prince Albert Glass Field
CYPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport
CYPD,Port Hawkesbury Airport
CYPE,Peace River Airport
CYPG,Southport Airport
CYPH,Inukjuak Airport
CYPL,Pickle Lake Airport
CYPO,Peawanuck Airport
CYPQ,Peterborough Airport
CYPR,Prince Rupert Airport
CYPW,Powell River Airport
CYPX,Puvirnituq Airport
CYPY,Fort Chipewyan Airport
CYQA,Muskoka Airport
CYQB,Quebec Jean Lesage International Airport
CYQD,The Pas Airport
CYQF,Red Deer Regional Airport
CYQG,Windsor Airport
CYQH,Watson Lake Airport
CYQI,Yarmouth Airport
CYQK,Kenora Airport
CYQL,Lethbridge County Airport
CYQM,Greater Moncton International Airport
CYQQ,Comox Airport
CYQR,Regina International Airport
CYQT,Thunder Bay Airport
CYQU,Grande Prairie Airport
CYQV,Yorkton Municipal Airport
CYQW,North Battleford Airport
CYQX,Gander International Airport
CYQY,Sydney / J.A. Douglas McCurdy Airport
CYQZ,Quesnel Airport
CYRA,Rae Lakes Airport
CYRB,Resolute Bay Airport
CYRJ,Roberval Airport
CYRL,Red Lake Airport
CYRQ,Trois-Rivières Airport
CYRT,Rankin Inlet Airport
CYRV,Revelstoke Airport
CYSB,Sudbury Airport
CYSC,Sherbrooke Airport
CYSF,Stony Rapids Airport
CYSJ,Saint John Airport
CYSK,Sanikiluaq Airport
CYSM,Fort Smith Airport
CYSN,Niagara District Airport
CYSP,Marathon Airport
CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport
CYTE,Cape Dorset Airport
CYTH,Thompson Airport
CYTL,Big Trout Lake Airport
CYTR,CFB Trenton
CYTS,Timmins/Victor M. Power
CYTZ,Billy Bishop Toronto City Centre Airport
CYUB,Tuktoyaktuk Airport
CYUL,Montreal / Pierre Elliott Trudeau International Airport
CYUT,Repulse Bay Airport
CYUX,Hall Beach Airport
CYUY,Rouyn Noranda Airport
CYVC,La Ronge Airport
CYVL,Tommy Kochon Airport
CYVM,Qikiqtarjuaq Airport
CYVO,Val-d'Or Airport
CYVP,Kuujjuaq Airport
CYVQ,Norman Wells Airport
CYVR,Vancouver International Airport
CYVT,Buffalo Narrows Airport
CYVV,Wiarton Airport
CYWA,Petawawa Airport
CYWG,Winnipeg / James Armstrong Richardson International Airport
CYWH,Victoria Harbour Seaplane Base
CYWJ,Déline Airport
CYWK,Wabush Airport
CYWL,Williams Lake Airport
CYWY,Wrigley Airport
CYXC,Cranbrook/Canadian Rockies International Airport
CYXE,Saskatoon John G. Diefenbaker International Airport
CYXH,Medicine Hat Airport
CYXJ,Fort St John Airport
CYXL,Sioux Lookout Airport
CYXN,Whale Cove Airport
CYXP,Pangnirtung Airport
CYXQ,Beaver Creek Airport
CYXR,Earlton (Timiskaming Regional) Airport
CYXS,Prince George Airport
CYXT,Northwest Regional Airport Terrace-Kitimat
CYXU,London Airport
CYXX,Abbotsford Airport
CYXY,Whitehorse / Erik Nielsen International Airport
CYXZ,Wawa Airport
CYYB,North Bay Jack Garland Airport
CYYC,Calgary International Airport
CYYD,Smithers Airport
CYYE,Fort Nelson Airport
CYYF,Penticton Airport
CYYG,Charlottetown Airport
CYYH,Taloyoak Airport
CYYJ,Victoria International Airport
CYYL,Lynn Lake Airport
CYYN,Swift Current Airport
CYYQ,Churchill Airport
CYYR,Goose Bay Airport
CYYT,St. John's International Airport
CYYU,Kapuskasing Airport
CYYW,Armstrong Airport
CYYY,Mont Joli Airport
CYYZ,Lester B. Pearson International Airport
CYZE,Gore Bay Manitoulin Airport
CYZF,Yellowknife Airport
CYZH,Slave Lake Airport
CYZP,Sandspit Airport
CYZR,Chris Hadfield Airport
CYZS,Coral Harbour Airport
CYZT,Port Hardy Airport
CYZU,Whitecourt Airport
CYZV,Sept-Îles Airport
CYZW,Teslin Airport
CYZX,CFB Greenwood
CYZY,Mackenzie Airport
CZBF,Bathurst Airport
CZFA,Faro Airport
CZFM,Fort Mcpherson Airport
CZFN,Tulita Airport
CZMD,Muskrat Dam Airport
CZMT,Masset Airport
CZPC,Pincher Creek Airport
CZSJ,Sandy Lake Airport
CZST,Stewart Airport
CZUM,Churchill Falls Airport
CZVL,Edmonton / Villeneuve Airport
DAAE,Soummam Airport
DAAG,Houari Boumediene Airport
DAAJ,Djanet Inedbirene Airport
DAAP,Illizi Takhamalt Airport
DAAS,Ain Arnat Airport
DAAT,Aguenar – Hadj Bey Akhamok Airport
DAAV,Jijel Ferhat Abbas Airport
DAAY,Mecheria Airport
DABB,Rabah Bitat Airport
DABC,Mohamed Boudiaf International Airport
DABS,Cheikh Larbi Tébessi Airport
DABT,Batna Airport
DAOB,Bou Chekif Airport
DAOF,Tindouf Airport
DAOL,Tafaraoui Airport
DAOO,Es Senia Airport
DAOR,Béchar Boudghene Ben Ali Lotfi Airport
DAUA,Touat Cheikh Sidi Mohamed Belkebir Airport
DAUB,Biskra Airport
DAUE,El Golea Airport
DAUG,Noumérat - Moufdi Zakaria Airport
DAUH,Oued Irara Airport
DAUI,In Salah Airport
DAUK,Touggourt Sidi Madhi Airport
DAUL,Laghouat Airport
DAUO,Guemar Airport
DAUT,Timimoun Airport
DAUU,Ain el Beida Airport
DAUZ,In Aménas Airport
DBBB,Cadjehoun Airport
DFFD,Ouagadougou Airport
DFOO,Bobo Dioulasso Airport
DGAA,Kotoka International Airport
DGLE,Tamale Airport
DGSI,Kumasi Airport
DGTK,Takoradi Airport
DIAP,Port Bouet Airport
DIYO,Yamoussoukro Airport
DNAK,Akure Airport
DNIB,Ibadan Airport
DNKN,Mallam Aminu International Airport
DNMM,Murtala Muhammed International Airport
DRRN,Diori Hamani International Airport
